"Apfelweine, Verzehr in Kantinen, Mensen (ohne von Hochschulen, Schulen und Kindergärten)";"1112 900"
"Apfelweine, Verzehr in Kantinen, Mensen von Hochschulen, Schulen und Kindergärten";"1112 100"
"Apfelweine, Verzehr in Restaurants, Cafés, Bars, mit umfassender Bedienungsleistung";"1111 143"
"Apfelweine";"0212 210"
"Applikationen für Bekleidung, Haushaltswäsche und Heimtextilien";"0313 209"
"Appreturen für Leder und Schuhe";"0561 117"
"Apps (Software), z.B. für Smartphones, Tablet-PCs";"0820 000"
"Aprikosen, frisch oder gekühlt";"0116 309"
"Aprikosen, getrocknet";"0116 700"
"Aprikosenkonserven";"0116 905"
"Aprikosenmarmelade";"0118 302"
"APS-Kleinbild-Sucherkameras";"0911 105"
"APS-Spiegelreflexkameras";"0911 101"
"Aquarelle, Originale";"0511 407"
"Aquarelle, Reproduktionen u.ä.";"0511 407"
"Aquarellfarben, Unterrichts- und Künstlerfarben";"0974 008"
"Aquarien";"0932 202"
"Aquarienpflanzen, (ohne Samen und Vermehrungsgut)";"0931 226"
"Aquarien - Zubehör";"0932 202"
"Arbeiterrenten aus der gesetzlichen Rentenversicherung";"0031 110"
"Arbeiterschutzartikel für Damen und Herren (ohne Oberbekleidung, Wäsche, Kopfbedeckung, Handschuhe)";"0313 109"
"Arbeitgeberbeiträge zur Sozialversicherung, für anderes Hauspersonal";"0562 100"
"Arbeitgeberbeiträge zur Sozialversicherung, für Hauspersonal, zur Betreuung von älteren Personen";"0562 100"
"Arbeitgeberbeiträge zur Sozialversicherung, für Hauspersonal zur Kinderbetreuung";"0562 100"
"Arbeitgeberdarlehen, Baudarlehen, Aufnahme";"0081 900"
"Arbeitgeberdarlehen, Baudarlehen, Tilgung";"1651 200"
"Arbeitgeberdarlehen, Baudarlehen, Verzinsung";"1651 400"
"Arbeitgeberdarlehen, nicht Baudarlehen, Aufnahme";"0085"
"Arbeitgeberdarlehen, nicht Baudarlehen, ohne Tilgung von zinslosen Raten- und Konsumentenkrediten";"1652 200"
"Arbeitgeberdarlehen, nicht Baudarlehen, Tilgung von zinslosen Raten- und Konsumentenkrediten";"1652 300"
"Arbeitgeberdarlehen, nicht Baudarlehen, Verzinsung von zinslosen Raten- und Konsumentenkrediten";"1652 500"
"Arbeitgeberzuschüsse zur freiwilligen oder privaten Krankenversicherung";"0011 180"
"Arbeitgeberzuschüsse zur Krankenversicherung";"0011"
"Arbeitgeberzuschüsse zur Pflegeversicherung bei freiwilliger oder privater Krankenversicherung";"0011 190"
"Arbeitnehmerorganisationen, laufende Beiträge";"1641 500"
"Arbeitnehmerorganisationen, Mitgliedsbeiträge";"1641 500"
"Arbeitnehmerorganisationen, Spenden und unregelmäßige Beiträge";"1642 500"
"Arbeitnehmersparzulage als Einnahme vom Staat";"0031 639"
"Arbeitsanzüge für Herren";"0312 12"
"Arbeitsbekleidung für Damen (ohne Wäsche und Bekleidungszubehör)";"0312 2"
"Arbeitsbekleidung für Herren";"0312 1"
"Arbeitsförderung, Konkursausfallgeld, Unterhaltsgeld, Ausbildungsbeihilfe";"0031 570"
"Arbeitsförderung, Kurzarbeitergeld, Winterbauförderung nach dem Sozialgesetzbuch III";"0031 520"
"Arbeitsförderung, Übergangsgeld, einmalig und unregelmäßig";"0031 580"
"Arbeitshandschuhe für Damen";"0313 105"
"Arbeitshandschuhe für Herren";"0313 104"
"Arbeitshemden für Herren";"0312 131"
"Arbeitshosen für Damen";"0312 22"
"Arbeitshosen für Herren";"0312 12"
"Arbeitsjacken für Damen";"0312 22"
"Arbeitsjacken für Herren";"0312 11"
"Arbeitskittel für Damen";"0313 109"
"Arbeitskittel für Herren";"0313 109"
"Arbeitskleider für Damen";"0312 22"
"Arbeitskopfbedeckungen";"0313 103"
"Arbeitslosengeld II (Hartz IV) und Sozialgeld nach dem SGB II (Grundsicherung für Arbeitssuchende), hier Zuschuss für Wohnkosten (Unterkunft und Heizkosten (KdU)";"0031 532"
